"No.","Time","Source","Destination","Protocol","Length","Info"
"44","30.104737","127.0.0.1","127.0.0.1","TCP","44","51704  >  12000 [ACK] Seq=57 Ack=27 Win=2619648 Len=0"
"45","30.105750","127.0.0.1","127.0.0.1","TCP","61","12000  >  51705 [PSH, ACK] Seq=1 Ack=18 Win=2619648 Len=17"
"46","30.105790","127.0.0.1","127.0.0.1","TCP","44","51705  >  12000 [ACK] Seq=18 Ack=18 Win=2619648 Len=0"
"47","30.106507","127.0.0.1","127.0.0.1","TCP","66","51705  >  12000 [PSH, ACK] Seq=18 Ack=18 Win=2619648 Len=22"
"48","30.106548","127.0.0.1","127.0.0.1","TCP","44","12000  >  51705 [ACK] Seq=18 Ack=40 Win=2619648 Len=0"
"49","30.107043","127.0.0.1","127.0.0.1","TCP","44","51705  >  12000 [FIN, ACK] Seq=40 Ack=18 Win=2619648 Len=0"
"50","30.107085","127.0.0.1","127.0.0.1","TCP","44","12000  >  51705 [ACK] Seq=18 Ack=41 Win=2619648 Len=0"
"51","40.139200","127.0.0.1","127.0.0.1","TCP","56","51706  >  12000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"52","40.139295","127.0.0.1","127.0.0.1","TCP","56","12000  >  51706 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"53","40.139351","127.0.0.1","127.0.0.1","TCP","44","51706  >  12000 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"54","40.139406","127.0.0.1","127.0.0.1","TCP","64","51706  >  12000 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=20"
"55","40.139427","127.0.0.1","127.0.0.1","TCP","44","12000  >  51706 [ACK] Seq=1 Ack=21 Win=2619648 Len=0"
"56","40.139567","127.0.0.1","127.0.0.1","TCP","44","12000  >  51705 [FIN, ACK] Seq=18 Ack=41 Win=2619648 Len=0"
"57","40.139606","127.0.0.1","127.0.0.1","TCP","44","51705  >  12000 [ACK] Seq=41 Ack=19 Win=2619648 Len=0"
"58","40.140761","127.0.0.1","127.0.0.1","TCP","64","12000  >  51706 [PSH, ACK] Seq=1 Ack=21 Win=2619648 Len=20"
"59","40.140805","127.0.0.1","127.0.0.1","TCP","44","51706  >  12000 [ACK] Seq=21 Ack=21 Win=2619648 Len=0"
"60","40.141515","127.0.0.1","127.0.0.1","TCP","69","51706  >  12000 [PSH, ACK] Seq=21 Ack=21 Win=2619648 Len=25"
"61","40.141558","127.0.0.1","127.0.0.1","TCP","44","12000  >  51706 [ACK] Seq=21 Ack=46 Win=2619648 Len=0"
"62","40.142038","127.0.0.1","127.0.0.1","TCP","44","51706  >  12000 [FIN, ACK] Seq=46 Ack=21 Win=2619648 Len=0"
"63","40.142078","127.0.0.1","127.0.0.1","TCP","44","12000  >  51706 [ACK] Seq=21 Ack=47 Win=2619648 Len=0"
"64","50.210308","127.0.0.1","127.0.0.1","TCP","56","51707  >  12000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"65","50.210381","127.0.0.1","127.0.0.1","TCP","56","12000  >  51707 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"66","50.210427","127.0.0.1","127.0.0.1","TCP","44","51707  >  12000 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"67","50.210463","127.0.0.1","127.0.0.1","TCP","62","51707  >  12000 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=18"
"68","50.210497","127.0.0.1","127.0.0.1","TCP","44","12000  >  51707 [ACK] Seq=1 Ack=19 Win=2619648 Len=0"
"69","50.210648","127.0.0.1","127.0.0.1","TCP","44","12000  >  51706 [FIN, ACK] Seq=21 Ack=47 Win=2619648 Len=0"
"70","50.210687","127.0.0.1","127.0.0.1","TCP","44","51706  >  12000 [ACK] Seq=47 Ack=22 Win=2619648 Len=0"
"71","50.211679","127.0.0.1","127.0.0.1","TCP","62","12000  >  51707 [PSH, ACK] Seq=1 Ack=19 Win=2619648 Len=18"
"72","50.211719","127.0.0.1","127.0.0.1","TCP","44","51707  >  12000 [ACK] Seq=19 Ack=19 Win=2619648 Len=0"
"73","50.212380","127.0.0.1","127.0.0.1","TCP","67","51707  >  12000 [PSH, ACK] Seq=19 Ack=19 Win=2619648 Len=23"
"74","50.212417","127.0.0.1","127.0.0.1","TCP","44","12000  >  51707 [ACK] Seq=19 Ack=42 Win=2619648 Len=0"
"75","50.213024","127.0.0.1","127.0.0.1","TCP","44","51707  >  12000 [FIN, ACK] Seq=42 Ack=19 Win=2619648 Len=0"
